,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
23,13051.370026743914,0.0169012030746809,0.0273263713044548,0.0351148808336152,0.0444272081442617,0.0539668859923325,0.0636017246083097,0.073326494020957,0.0831527745647403,0.0930951570375982,0.1031686934113891,0.1134005690715554,0.1239182128595967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-195.47368729683149,-0.0094246940330021,-0.0173426457221626,-0.0148924795718947,-0.0182163709802263,-0.0226819157544205,-0.0277202989224212,-0.0334404849326732,-0.040160149330039,-0.0484464122178555,-0.0592759871491791,-0.0741545906271763,-0.0941504285772005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-12696.760970534802,-0.0095896862426694,-0.0171856193041537,-0.0145902632846883,-0.0183500083380128,-0.0228798195862648,-0.0278472982301271,-0.0333492957204599,-0.0396068125079612,-0.046985215708331,-0.0560740302585127,-0.0677173278578505,-0.0823929971925179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,12897.09847731432,0.0197158672675736,0.0359748862476947,0.0299591569811328,0.0366652955139457,0.0451423319943767,0.0542527112572892,0.0639259896698947,0.0742317154078189,0.0852629073241876,0.0971137129908438,0.109975627317265,0.1248736156632558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-12694.871019322054,-0.0095896253358951,-0.0171862886357984,-0.0145950860311728,-0.0183610985557055,-0.0228998461033934,-0.0278796714453006,-0.0333982784180858,-0.0396777911254552,-0.0470851516155747,-0.0562121526804071,-0.0679058949203791,-0.0826464110967381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-396.3059143769312,-0.0105863142544212,-0.0215938736648243,-0.0115878046227495,-0.0131456447739043,-0.016869680169368,-0.0215674084314728,-0.0273994953273583,-0.0349205673448198,-0.0451385524101264,-0.0597964766422733,-0.0815650939551551,-0.1122195677393776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-12330.145275238949,-0.0109203921166688,-0.0212756282267398,-0.0109478806257813,-0.0133438159300067,-0.0171412586744146,-0.0216227163774633,-0.026925239638224,-0.033415044693546,-0.0417132190650648,-0.0528328049516081,-0.0682224968196253,-0.0886332973201402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,12707.842606977074,0.0229287329144714,0.0457921275381837,0.0235474836479118,0.0268096019463975,0.0333933174700982,0.0409378261979103,0.0492273827924898,0.0583174907860163,0.0682973833485507,0.0792394475638699,0.0913626062963899,0.1063405134097636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-551.8047894590624,-0.0114846058398104,-0.0248681434644755,-0.0088605845576569,-0.0089131216885389,-0.0118563571281684,-0.0159748131710988,-0.0214161956373779,-0.0288324311160317,-0.0394231960372352,-0.0552575896432953,-0.0794601622151365,-0.1138946230418025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-12039.60913025838,-0.0119536147023655,-0.0244296630513422,-0.0079604830512551,-0.0091668804323086,-0.0121963476045702,-0.0159999453104839,-0.0207035199776949,-0.0267214984524059,-0.0347697940312503,-0.0460200533813879,-0.0621335109909407,-0.0838700370106029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,12553.739003028351,0.0254220857704095,0.0533622786164839,0.0182303043841394,0.0185306727158053,0.0232183068102586,0.0289308605338707,0.0352860309740231,0.042264139348724,0.0498738982300692,0.0580741156327877,0.0669514752443839,0.0782457231597663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-605.1933135030133,-0.0125138175901194,-0.027148092793773,-0.0096023221953739,-0.0096167119753466,-0.0127940604264182,-0.017253573186747,-0.0231538200003558,-0.0312041196131012,-0.0427107001560738,-0.0599266132910088,-0.0862535871663738,-0.1237170370508322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-12336.52678080794,-0.012273932601924,-0.0251216111989878,-0.0081187234897544,-0.0093289462751478,-0.0124162813150316,-0.016297804207405,-0.0211012558662548,-0.0272510528170996,-0.0354808724047479,-0.0469916853450858,-0.0634864554726889,-0.0857438681192497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
