,node_sourcebus.1_harmonico_60,node_sourcebus.1_harmonico_180,node_sourcebus.1_harmonico_300,node_sourcebus.1_harmonico_420,node_sourcebus.1_harmonico_540,node_sourcebus.1_harmonico_660,node_sourcebus.1_harmonico_780,node_sourcebus.1_harmonico_900,node_sourcebus.1_harmonico_1020,node_sourcebus.1_harmonico_1140,node_sourcebus.1_harmonico_1260,node_sourcebus.1_harmonico_1380,node_sourcebus.1_harmonico_1500,node_sourcebus.1_harmonico_1620,node_sourcebus.1_harmonico_1740,node_sourcebus.1_harmonico_1860,node_sourcebus.1_harmonico_1980,node_sourcebus.1_harmonico_2100,node_sourcebus.1_harmonico_2220,node_sourcebus.1_harmonico_2340,node_sourcebus.1_harmonico_2460,node_sourcebus.1_harmonico_2580,node_sourcebus.1_harmonico_2700,node_sourcebus.1_harmonico_2820,node_sourcebus.1_harmonico_2940
0,36225.02843437387,0.0057765773264509,0.0057993955668262,0.0057874375583978,0.0057810914780259,0.0057795003987707,0.0057793801856198,0.0057801498206939,0.0057818412689882,0.0057848225939423,0.0057898761180745,0.0057983893354078,0.0058120594141163,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.3181580719983684,0.0571138290794534,0.0970941960911663,0.1370888039793296,0.1770910576698161,0.2170916405875148,0.2570924152284218,0.2970941835086308,0.337097500615832,0.3771029140880775,0.4171110721413987,0.4571228062147475,0.4971391463167871,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-36224.710276302016,-0.0628904094461717,-0.102893596864039,-0.1428762489095263,-0.1828721586854696,-0.222871152689665,-0.2628718092832122,-0.3028743493642868,-0.3428793600855426,-0.3828877570485348,-0.4229009707917551,-0.4629212202482332,-0.5029512325947538,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,15094.72797814517,0.0143076549782454,0.0226514572543733,0.0309743365195252,0.0393042068712743,0.0476370714640827,0.0559711530731669,0.06430633300057,0.0726428853028723,0.0809813735762938,0.0893227796471593,0.0976686947621493,0.1060208887088039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-7547.564515825301,0.0106955295291333,0.0190132077803053,0.0273494668925839,0.0356866295501403,0.0440213516371924,0.0523556067044416,0.0606899451713859,0.0690246080732032,0.0773597415128158,0.0856954367772409,0.0940317032264108,0.1023683723367143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-7547.189825653954,-0.0250032449471701,-0.0416649212233143,-0.0583237777441756,-0.074990732807393,-0.091658251783244,-0.1083264623370213,-0.1249957262085491,-0.1416664355441621,-0.158339069368598,-0.1750142768943784,-0.1916929991028531,-0.2083765830146508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,15058.04592867804,0.0144596747642165,0.023249056503124,0.0306991701311343,0.0388042943371625,0.0470946872904635,0.0554702758959721,0.0639383205735781,0.0725342936505808,0.0813217309283048,0.0904069956593473,0.0999461672963592,0.1100259078184269,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-7551.801813922378,0.0105602287928815,0.01763776329905,0.0263020518229797,0.034836381347883,0.0431974417168516,0.0515388815253162,0.0599077294310622,0.0683346491790543,0.0768536584199136,0.085510447736788,0.0943554816008965,0.103351189957507,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-7524.187542251141,-0.0250488026392203,-0.0409919333848591,-0.0570877916404524,-0.0737240409390296,-0.0903640340111374,-0.1070404736455552,-0.1237818382050379,-0.1406102194103193,-0.1575451086652446,-0.1746062850805648,-0.1918292992957557,-0.2093537904351852,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,15033.332597864846,0.0145617558023883,0.02364996375668,0.0305147861144694,0.0384688517721448,0.046729961890436,0.0551319928843507,0.0636870066337056,0.0724539232727407,0.0815383375739057,0.0911170882857085,0.1014496346773077,0.1126793891939891,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
