,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
0,36225.02843437387,-1.4680640000919464e-07,3.270167775191585e-07,-1.7589555859100828e-06,-1.7710571378665616e-06,-1.7404426856348995e-06,-1.703687122857734e-06,-1.6175647593547109e-06,-1.459175296821136e-06,-1.245540519112956e-06,-1.121082497904656e-06,-1.6614379372016607e-06,-4.711655596665518e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.3181580719983684,0.0571138160826177,0.0970956709142136,0.1370907861003475,0.1770921884219595,0.2170925592835669,0.25709330712524,0.2970951368414877,0.3370985803885233,0.3771041821334105,0.4171125900953106,0.4571246287180315,0.4971413699820434,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-36224.710276302016,-0.0571136723164853,-0.0970960031370374,-0.1370890345165686,-0.1770904269024492,-0.2170908305442632,-0.2570916173072875,-0.2970935353116813,-0.3370971394139473,-0.3771029569594071,-0.4171114915451015,-0.4571229919781645,-0.4971366851902836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,15094.72797814517,0.0118993956355546,0.0202269012694305,0.0285572955104195,0.0368916511995962,0.0452256699123514,0.0535598448341491,0.0618944728345291,0.0702297694296051,0.0785659141220909,0.0869029894485499,0.0952406846840346,0.1035774432824257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-7547.564515825301,0.0118995598717152,0.0202265147116531,0.0285592931696993,0.0368936690034608,0.0452276531815417,0.0535617850844826,0.061896312890632,0.0702314258785231,0.0785673224534992,0.0869042488545791,0.0952425492185765,0.1035827700404188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-7547.189825653954,-0.0237991973325426,-0.04045326610041,-0.0571162288840011,-0.073784997892698,-0.0904530095627332,-0.107121309719638,-0.1237904512730369,-0.1404608513065259,-0.1571329326260302,-0.173807188860986,-0.1904842174792536,-0.2071646965904682,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,15058.04592867804,0.0118244924005356,0.0196128079468529,0.0277874513616689,0.0361567013206338,0.0444856671345952,0.0528237345091743,0.0611941901500229,0.0696111074548281,0.0780805432570171,0.0865865858815922,0.09504230707952,0.1031691095836553,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-7551.801813922378,0.0118395473099457,0.0195366419170381,0.0278425894531164,0.0362073785038729,0.0445324209744274,0.0528693452520891,0.0612399024249867,0.0696584979856867,0.0781351818402063,0.0866690324763672,0.0952233794887935,0.1036697921357256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-7524.187542251141,-0.0237554848961807,-0.0391454045685538,-0.0556357103315855,-0.0723942565230974,-0.0890622777380703,-0.1057448468709419,-0.1224897439990832,-0.1393327573171114,-0.1563140186623257,-0.1734925957534678,-0.19097498065262,-0.2089694167812194,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,15033.332597864846,0.0117740363959311,0.0192004094723205,0.02726987116748,0.0356612745888833,0.0439849858667414,0.0523230401992706,0.0607140026424525,0.0691810998387562,0.0777341905870575,0.0863465066286679,0.0948729386066776,0.1028491126070009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
