,node_sourcebus.2_harmonico_60,node_sourcebus.2_harmonico_180,node_sourcebus.2_harmonico_300,node_sourcebus.2_harmonico_420,node_sourcebus.2_harmonico_540,node_sourcebus.2_harmonico_660,node_sourcebus.2_harmonico_780,node_sourcebus.2_harmonico_900,node_sourcebus.2_harmonico_1020,node_sourcebus.2_harmonico_1140,node_sourcebus.2_harmonico_1260,node_sourcebus.2_harmonico_1380,node_sourcebus.2_harmonico_1500,node_sourcebus.2_harmonico_1620,node_sourcebus.2_harmonico_1740,node_sourcebus.2_harmonico_1860,node_sourcebus.2_harmonico_1980,node_sourcebus.2_harmonico_2100,node_sourcebus.2_harmonico_2220,node_sourcebus.2_harmonico_2340,node_sourcebus.2_harmonico_2460,node_sourcebus.2_harmonico_2580,node_sourcebus.2_harmonico_2700,node_sourcebus.2_harmonico_2820,node_sourcebus.2_harmonico_2940
0,36225.02843437387,-1.5463282033956652e-08,8.298343618935956e-07,-4.971280720962785e-07,-1.0898052821656634e-06,-1.2502512747186918e-06,-1.2482831958560118e-06,-1.063129600695223e-06,-6.010620223181798e-07,3.0473079619528104e-07,1.918568437195955e-06,4.537504543056945e-06,7.833807276927334e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.3181580719983684,0.0628903035229047,0.1028907841829983,0.1428734947172679,0.1828714269491248,0.2228709823501,0.2628716963964957,0.3028738886909126,0.3428780050608793,0.3828846136345736,0.4228944720861862,0.4629086365998538,0.5029286027955003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-36224.710276302016,-0.0628902910998895,-0.1028916192234074,-0.1428730049609946,-0.1828703466814704,-0.222869743802202,-0.2628704619824671,-0.3028728415962712,-0.3428774221995767,-0.3828849387318866,-0.4228964131869083,-0.462913198802469,-0.5029364634666239,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,15094.72797814517,0.0131035182998612,0.0214382410593664,0.0297646305933575,0.0380972560561496,0.0464308391479622,0.0547650057870662,0.0630999054491066,0.0714358023800366,0.0797730808399017,0.0881122948002735,0.0964541328000766,0.1047987563478295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-7547.564515825301,0.0131035306554365,0.0214372917741055,0.0297651753373364,0.0380984829290348,0.0464322513489869,0.0547664166147027,0.0631011052932434,0.0714364748578434,0.0797727190394204,0.088110089437753,0.0964489334706468,0.1047897813848875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-7547.189825653954,-0.0262072470170146,-0.0428759228823942,-0.0595297533381015,-0.0761955881529127,-0.0928628537073602,-0.1095310544377674,-0.1262004207643126,-0.1428713009282031,-0.1595441477749849,-0.1762195729287687,-0.192898432832388,-0.2095819023751683,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,15058.04592867804,0.0131380580753008,0.0213949853121892,0.0292038365940326,0.037469969579282,0.0457905051383983,0.0541555874535307,0.0625844015714939,0.0711045271890158,0.0797550837993141,0.0885897537990004,0.0976598125401303,0.1068940407356696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-7551.801813922378,0.0131556194484448,0.0213473870613829,0.029214912354346,0.0375083312665697,0.0458338671864373,0.0541975000627021,0.0626168753043586,0.0711136798996238,0.0797163879763692,0.0884618937960026,0.0973850138362399,0.1064521411108384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-7524.187542251141,-0.0263825875994983,-0.0428309822878754,-0.0584555629080485,-0.0750085269258005,-0.0916355415849895,-0.1083202928136675,-0.1250840280661822,-0.141950790781058,-0.1589484021481274,-0.1761144475261163,-0.193516608790442,-0.2113255684500206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,15033.332597864846,0.0131610324234004,0.0213654504769431,0.0288266224672393,0.037047045027254,0.0453571022221967,0.0537404435626889,0.0622288768186162,0.0708681510543955,0.0797232047797757,0.0888831808635436,0.0984331089852326,0.1082537977818338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-7554.901299249231,0.013190712818314,0.021286966278191,0.0288449604962546,0.0371101616581935,0.0454279341644318,0.0538081748040304,0.0622801388234809,0.0708798091047929,0.0796544786558136,0.08866546643988,0.0979705678750369,0.1075132063346144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-7509.164567593669,-0.0265006583609856,-0.0428007929330902,-0.0577335033534601,-0.0742077597464931,-0.0908031688605764,-0.1074925292975526,-0.1243108996949685,-0.1412979230028362,-0.1584994705163702,-0.1759775967718789,-0.1938444249019859,-0.2123838304545658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
